#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
1040000,-2686712.221421806,604032.121084688,-2082680.1003371181,299.72240800010104,2240.0060284968104,17.1
1045000,-2687414.300172314,604034.7566827061,-2083379.543489608,299.7237157911223,2240.679812237196,17.1
1050000,-2686079.141616419,604892.4672528033,-2081186.6743636157,300.14931414667836,2241.433961243302,17.1
1055000,-2687734.9916997775,605762.2813554747,-2081972.710344303,300.5809183085513,2241.586374616857,17.1
1060000,-2686370.6553423107,603120.9143663356,-2083249.740975975,299.2702647079198,2244.5045840021253,17.1
1065000,-2686426.2286093514,604625.7151720055,-2081800.513437346,300.0169510268956,2242.164297115561,17.1
1070000,-2685267.5738322865,605798.7358142575,-2079468.838018029,300.5990071117578,2241.5052719665227,17.1
1075000,-2686412.7267697323,603718.2009230994,-2082694.525846633,299.5666399482594,2241.265941175473,17.1
1080000,-2689598.6000160314,606544.4279485891,-2083054.1720674424,300.96902160987304,2240.9314918186633,17.1
1085000,-2687896.2340343297,605656.3201524087,-2082239.913881921,300.52834006671793,2243.5601869639077,17.1
1090000,-2683693.172249129,606560.9412634084,-2077132.2309857206,300.9772155623284,2245.2648449025583,17.1
1095000,-2688010.473278895,603969.2877062449,-2084041.1855726503,299.6912299040489,2244.2425505806063,17.1
1100000,-2686862.776005598,603092.0725213096,-2083770.7034842882,299.25595330470026,2241.5640955971,17.1
1105000,-2684802.6921270676,605328.2729162578,-2079474.4192108097,300.3655621214319,2242.522411074367,17.1
1110000,-2684587.3783366624,605158.5551213115,-2079428.823215351,300.2813476824871,2241.7212159670726,17.1
1115000,-2684648.663040202,605376.3140336962,-2079272.349006506,300.3894002566883,2241.955649381177,17.1
1120000,-2685726.6238855477,604052.231526205,-2081674.392359343,299.73238685676614,2242.007419485815,17.1
1125000,-2685414.43582331,602985.47394838,-2082428.9618749302,299.2030587981789,2241.2577259721584,17.1
1130000,-2688682.085528301,603907.8291220018,-2084774.2564062993,299.6607339846787,2240.829423555589,17.1
1135000,-2686609.127176378,606104.1415116562,-2080504.9856647216,300.75055026293484,2241.897514220393,17.1
1140000,-2684007.164211724,607366.1152723443,-2076641.0489393796,301.3767451310275,2243.6378740692758,17.1
1145000,-2685788.539385764,605745.8710326848,-2080042.6683530791,300.57277546102557,2243.800346003981,17.1
1150000,-2684688.0091959555,604656.9522990655,-2080031.05689689,300.03245097568083,2243.34668166334,17.1
1155000,-2685886.0276570674,604942.641898129,-2080943.3857589383,300.1742109443694,2243.058847628942,17.1
1160000,-2683956.4544692505,606389.2185458395,-2077567.2359234109,300.89200627523684,2241.9852081723343,17.1
1165000,-2686570.9372688755,605642.3084247605,-2080928.628844115,300.5213874087311,2240.94773245818,17.1
1170000,-2687347.053640386,605520.8932283897,-2081826.1604119963,300.4611408527057,2240.6460657865096,17.1
1175000,-2683639.4240921643,605401.2961080467,-2078238.1279841177,300.4017964310304,2241.6616528251,17.1
1180000,-2686168.9908021186,605805.0478170788,-2080363.9429850397,300.60213914500383,2240.7808266614174,17.1
1185000,-2684463.199143911,605567.8366818598,-2078895.362462051,300.4844343240672,2241.0973850898736,17.1
1190000,-2682566.6168274377,607050.6473847202,-2075515.9694427175,301.22020909324925,2240.818479720437,17.1
1195000,-2685461.309977755,604847.4251276797,-2080613.8848500752,300.12696411969756,2242.1788166473743,17.1
1200000,-2689409.9673066456,604597.5506931781,-2084812.4166134675,300.00297573465605,2240.7251553339975,17.1
1205000,-2685535.536570227,604160.2214250276,-2081375.3151451992,299.78597174304116,2239.9579999068874,17.1
1210000,-2686136.215946663,604790.7499764209,-2081345.4659702424,300.0988417529953,2240.201487449919,17.1
